Age,Years of Experience,Salary
32,5,90000
28,3,65000
45,15,150000
36,7,60000
52,20,200000
29,2,55000
42,12,120000
31,4,80000
26,1,45000
38,10,110000
29,3,75000
48,18,140000
35,6,65000
40,14,130000
27,2,40000
44,16,125000
33,7,90000
39,12,115000
25,0,35000
51,22,180000
34,5,80000
47,19,190000
30,2,50000
36,9,60000
41,13,140000
28,3,45000
37,11,110000
24,1,40000
43,15,140000
33,6,90000
50,25,250000
31,4,55000
29,3,75000
39,10,65000
46,20,170000
27,2,45000
35,7,60000
42,14,115000
26,1,40000
49,21,160000
34,5,80000
48,18,190000
30,3,60000
36,8,45000
41,13,130000
28,2,40000
32,5,75000
45,16,180000
38,11,120000
25,0,35000
51,22,130000
33,7,85000
40,12,60000
47,19,200000
29,3,50000
36,9,95000
27,2,65000
43,17,140000
30,4,55000
35,7,105000
51,23,170000
29,3,50000
40,12,80000
47,21,180000
26,1,35000
38,10,90000
46,19,120000
31,5,45000
34,8,90000
49,18,150000
33,6,65000
39,11,70000
45,16,190000
28,2,40000
42,14,120000
37,10,95000
50,22,160000
32,6,100000
48,20,180000
30,3,55000
36,8,70000
41,13,80000
25,0,30000
52,24,250000
29,2,40000
34,10,95000
27,2,45000
40,15,80000
46,21,135000
31,6,55000
36,11,120000
29,3,40000
43,18,105000
52,25,170000
33,7,75000
39,12,65000
47,22,160000
26,1,35000
38,10,90000
45,20,110000
31,5,45000
35,8,95000
49,19,150000
33,5,50000
39,13,80000
44,16,220000
30,3,50000
36,7,60000
41,14,100000
28,2,40000
42,15,110000
37,9,95000
50,22,130000
32,6,90000
23,0.5,35000
31,6,95000
40,15,65000
48,20,170000
29,3,45000
35,10,120000
42,17,100000
53,25,180000
33,5,50000
38,11,80000
44,16,140000
26,2,40000
37,9,95000
45,18,110000
32,4,50000
34,8,105000
50,21,160000
29,3,45000
40,12,100000
47,22,160000
27,1,35000
39,10,55000
46,19,140000
30,4,50000
36,7,60000
43,14,120000
28,2,40000
41,13,110000
33,5,50000
47,20,135000
25,1.5,40000
34,8,90000
42,16,150000
31,4,60000
38,10,80000
45,19,175000
29,3,45000
36,11,120000
43,18,140000
26,2,35000
37,9,95000
44,14,110000
32,5,50000
33,7,115000
51,23,185000
28,2,40000
39,12,90000
48,21,175000
30,3,45000
35,7,80000
41,13,120000
27,1.5,35000
40,14,110000
46,18,150000
31,4,50000
34,9,105000
50,20,180000
29,2,40000
,,
43,16,140000
26,1.5,45000
35,7,85000
42,18,140000
31,4,50000
38,10,80000
46,20,170000
29,2,40000
37,9,105000
44,15,145000
27,2,40000
36,8,85000
43,14,130000
33,6,95000
34,9,100000
50,22,180000
28,1.5,35000
39,12,95000
47,19,170000
30,3,45000
34,7,95000
40,13,120000
28,2,40000
41,11,90000
45,17,155000
32,5,55000
35,9,110000
49,21,180000
30,3,45000
44,16,130000
27,1.5,45000
36,7,90000
41,17,160000
31,4,50000
39,10,120000
47,20,170000
30,2,40000
38,9,110000
45,15,150000
28,2,40000
35,8,85000
44,14,130000
34,6,100000
35,9,95000
50,22,180000
29,1.5,35000
40,12,100000
48,19,170000
31,3,45000
33,7,100000
42,13,140000
28,2,40000
40,11,105000
46,18,160000
